Customer_ID,Recency,Frequency,Monetary,Cluster
000181a8-a961-4865-922f-ec14ac3a6290,270,1,94.03,2
00028cdf-0ea6-493f-9f96-df6d50cfa975,64,1,87.38,1
0003f5b9-0a75-4108-94e2-e960aa99d2a3,350,1,394.37,0
0008375d-c94d-45aa-9ce4-f2e21777cbd5,343,1,233.91,2
0008c27f-5b3e-452e-8fb3-dd1744592d14,219,1,194.11,2
00099e95-d768-4aca-90a8-cc48e4aedaac,310,1,96.77,2
000a7913-2d97-4ef2-9f96-b16da474c15d,47,1,293.68,3
000dec52-0115-48e0-914a-7a3606aed089,246,1,311.96,0
00102c6b-73d6-4a7b-8708-0c3940192d34,353,1,265.13,0
0012dd2f-5a4f-472d-bf4d-188606eeaf89,140,1,62.86,1
0014c99f-184c-4755-b6ef-8bbe995bb80c,44,1,90.96,1
001585bd-ebe1-4e80-8112-33bdb9892670,85,1,281.55,3
0015e39b-48d4-484a-b129-42218e86767e,234,1,389.13,0
0015f3bb-7f68-45ea-8d68-35c5be827940,188,1,406.1,0
00178abf-5d56-4bc0-ba9c-9e6a42237620,67,1,286.57,3
0018a6cc-21a4-4c86-86f4-fdf5d3d59cc1,342,1,12.76,2
0018bfcc-3772-4ccb-849f-ee0f89005705,221,1,368.4,0
001b885e-82f4-4e82-9cb5-95fcf4d96130,59,1,484.17,3
001e31a2-1246-4365-bbb8-b41df6e7d84b,251,1,129.01,2
001f02ca-7dba-4358-8897-d527bbec863b,130,1,404.4,3
001fcd33-0729-44b6-8988-0dbf73d22c8f,120,1,43.22,1
001fe1b5-b029-4ad1-9b5b-71121ce68c0f,192,1,326.13,0
00201102-6292-4b98-ac76-377c31a3bb04,315,1,62.4,2
0020b0f3-7120-45f6-b5c3-e037ae90d459,296,1,56.72,2
0020deb6-a705-49c5-8f47-99fddc39b2c9,187,1,278.52,0
00213730-be1e-4be1-99cf-161ef2fdaa91,264,1,345.12,0
00213a9a-e3e7-47a9-8740-7b214ffbb4b4,44,1,440.43,3
00226912-e754-44cc-8c8f-41b66a733a9a,128,1,228.98,1
0022d111-8ffc-4523-a738-9296f7b9edd7,4,1,150.36,1
00230ac7-ddd4-4841-ac48-69313585121e,109,1,115.7,1
00253ae3-b44b-42b6-ac15-8f2fc19cb98b,130,1,486.28,3
0025770b-4f42-43fc-bc31-7bdb5c455144,357,1,311.78,0
0026dd22-a1ac-4660-9fb4-66d56bb20623,122,1,243.69,1
0028acd1-24ea-42a2-9bd0-536dc74dba77,133,1,379.84,3
0028e9dc-4df3-42d3-9e8d-a54f73f3c46e,340,1,263.28,0
002a5ad0-2bad-4f92-8c14-8d7855bb90e7,113,1,205.74,1
002b1cf8-e961-4c07-b501-cc57d2a0884b,208,1,272.95,0
002c195f-d2c2-472f-87e0-2fd2482167b3,256,1,123.93,2
002e310e-2509-400f-a5af-1144d6fb4c55,71,1,299.32,3
002ecc4e-158e-4618-b367-833707ab9783,11,1,121.02,1
003a59e1-4ed4-436c-a992-6220ff64f139,182,1,108.09,1
003ab54a-7024-4d3d-8619-4f5f48b39282,115,1,48.29,1
003f3b34-2b67-4de0-bb7a-1415ffd453d8,212,1,329.33,0
004011cf-4b63-4455-bd67-6ade8beb6c0a,33,1,418.03,3
0040b404-b18b-4fa6-8e94-5804f29ade39,251,1,422.31,0
